,Thermostat,LightSensor,LightA,LightB,AC,Window
2484,69,6,ON,ON,OFF,Closed
2485,69,6,ON,ON,OFF,Closed
2486,70,5,ON,ON,OFF,Closed
2487,69,6,ON,ON,OFF,Closed
2488,68,7,ON,ON,OFF,Closed
2489,68,7,ON,ON,OFF,Closed
2490,69,6,ON,ON,OFF,Closed
2491,69,6,ON,ON,OFF,Closed
2492,69,5,ON,ON,ON,Closed
2493,69,4,ON,ON,ON,Closed
2494,69,5,ON,ON,ON,Closed
2495,69,4,ON,ON,ON,Closed
2496,68,3,ON,ON,ON,Closed
2497,68,3,ON,ON,ON,Closed
2498,68,3,ON,ON,ON,Closed
2499,68,3,ON,ON,ON,Closed
2500,68,4,ON,ON,ON,Closed
2501,69,5,ON,ON,ON,Closed
2502,70,5,ON,ON,ON,Closed
2503,71,6,ON,ON,ON,Closed
2504,72,7,ON,ON,ON,Closed
2505,73,7,ON,ON,ON,Closed
2506,72,8,ON,ON,ON,Closed
2507,73,9,OFF,OFF,OFF,Closed
2508,73,8,OFF,OFF,OFF,Closed
2509,74,7,OFF,OFF,OFF,Closed
2510,74,8,OFF,OFF,OFF,Closed
2511,74,7,OFF,OFF,OFF,Closed
2512,74,7,OFF,OFF,OFF,Closed
2513,74,7,OFF,OFF,OFF,Closed
2514,75,7,OFF,OFF,OFF,Closed
2515,74,6,OFF,OFF,OFF,Closed
2516,74,5,OFF,OFF,OFF,Closed
2517,75,6,OFF,OFF,OFF,Closed
2518,74,7,OFF,OFF,OFF,Closed
2519,75,8,OFF,OFF,OFF,Closed
2520,75,8,OFF,OFF,OFF,Closed
2521,75,7,OFF,OFF,OFF,Closed
2522,74,8,OFF,OFF,OFF,Closed
2523,74,9,OFF,OFF,OFF,Closed
2524,75,8,OFF,OFF,OFF,Closed
2525,75,8,ON,OFF,ON,Closed
2526,76,7,ON,OFF,ON,Closed
2527,75,8,ON,OFF,ON,Closed
2528,74,9,ON,OFF,ON,Closed
2529,73,9,OFF,OFF,ON,Closed
2530,73,8,OFF,OFF,ON,Closed
2531,72,8,OFF,OFF,ON,Closed
2532,73,9,OFF,OFF,ON,Closed
2533,74,8,OFF,OFF,ON,Closed
2534,73,7,OFF,OFF,ON,Closed
2535,73,6,OFF,OFF,ON,Closed
2536,73,5,OFF,OFF,ON,Closed
2537,73,6,OFF,OFF,ON,Closed
2538,73,7,OFF,OFF,ON,Closed
2539,74,6,OFF,OFF,ON,Closed
2540,75,7,OFF,OFF,ON,Closed
2541,75,6,OFF,OFF,ON,Closed
2542,74,5,OFF,OFF,ON,Closed
2543,75,5,OFF,OFF,ON,Closed
2544,74,4,OFF,OFF,ON,Closed
2545,75,5,OFF,OFF,ON,Closed
2546,76,5,OFF,OFF,ON,Closed
2547,76,6,OFF,OFF,ON,Closed
2548,77,5,OFF,OFF,ON,Closed
2549,77,4,OFF,OFF,ON,Closed
2550,78,4,OFF,OFF,ON,Closed
2551,79,4,OFF,OFF,ON,Closed
2552,78,5,OFF,OFF,ON,Closed
2553,77,6,OFF,OFF,ON,Closed
2554,76,6,OFF,OFF,ON,Closed
2555,75,7,OFF,OFF,ON,Closed
2556,74,7,OFF,OFF,ON,Closed
2557,73,6,OFF,OFF,ON,Closed
2558,72,7,OFF,OFF,ON,Closed
2559,73,8,OFF,OFF,ON,Closed
2560,72,8,OFF,OFF,ON,Closed
2561,72,9,OFF,OFF,ON,Closed
2562,73,9,OFF,OFF,ON,Closed
2563,74,10,OFF,OFF,ON,Closed
2564,75,8,OFF,OFF,ON,Closed
2565,75,7,OFF,OFF,ON,Closed
2566,76,6,OFF,OFF,ON,Closed
2567,75,7,OFF,OFF,ON,Closed
2568,75,6,OFF,OFF,ON,Closed
2569,75,5,OFF,OFF,ON,Closed
2570,76,5,OFF,OFF,ON,Closed
2571,75,6,OFF,OFF,ON,Closed
2572,76,6,OFF,OFF,ON,Closed
2573,75,6,OFF,OFF,ON,Closed
2574,74,5,OFF,OFF,ON,Closed
2575,73,4,OFF,OFF,ON,Closed
2576,72,3,OFF,OFF,ON,Closed
2577,73,4,OFF,OFF,ON,Closed
2578,74,3,OFF,OFF,ON,Closed
2579,75,3,OFF,OFF,ON,Closed
2580,76,3,OFF,OFF,ON,Closed
2581,76,4,OFF,OFF,ON,Closed
2582,77,3,OFF,OFF,ON,Closed
2583,76,3,OFF,OFF,ON,Closed
2584,76,2,OFF,OFF,ON,Closed
2585,76,2,OFF,OFF,ON,Closed
2586,76,2,OFF,OFF,ON,Closed
2587,77,2,OFF,OFF,ON,Closed
2588,78,3,OFF,OFF,ON,Closed
2589,78,2,OFF,OFF,ON,Closed
2590,78,2,OFF,OFF,ON,Closed
2591,77,3,OFF,OFF,ON,Closed
2592,77,4,OFF,OFF,ON,Closed
2593,77,4,OFF,OFF,ON,Closed
2594,76,3,OFF,OFF,ON,Closed
2595,75,4,OFF,OFF,ON,Closed
2596,76,3,OFF,OFF,ON,Closed
2597,75,4,OFF,OFF,ON,Closed
2598,76,4,OFF,OFF,ON,Closed
2599,77,5,OFF,OFF,ON,Closed
2600,76,6,OFF,OFF,ON,Closed
2601,76,5,OFF,OFF,ON,Closed
2602,76,6,OFF,OFF,ON,Closed
2603,76,7,OFF,OFF,ON,Closed
2604,75,7,ON,ON,OFF,Closed
2605,76,6,ON,ON,OFF,Closed
2606,75,7,ON,ON,OFF,Closed
2607,74,8,ON,ON,OFF,Closed
2608,74,9,ON,ON,OFF,Closed
2609,75,8,ON,ON,OFF,Closed
2610,74,7,ON,ON,OFF,Closed
2611,75,8,ON,ON,OFF,Closed
2612,76,9,ON,ON,OFF,Closed
2613,75,8,ON,ON,OFF,Closed
2614,76,7,ON,ON,OFF,Closed
2615,75,8,ON,ON,OFF,Closed
2616,76,8,ON,ON,OFF,Closed
2617,75,8,ON,ON,OFF,Closed
2618,74,8,ON,ON,OFF,Closed
2619,74,9,ON,ON,OFF,Closed
2620,73,9,OFF,OFF,OFF,Closed
2621,72,9,OFF,OFF,OFF,Closed
2622,73,8,OFF,OFF,OFF,Closed
2623,72,8,OFF,OFF,OFF,Closed
2624,73,7,OFF,OFF,OFF,Closed
2625,72,7,OFF,OFF,OFF,Closed
2626,73,6,OFF,OFF,ON,Closed
2627,72,5,OFF,OFF,ON,Closed
2628,73,5,OFF,OFF,ON,Closed
2629,72,4,OFF,OFF,ON,Closed
2630,71,4,OFF,OFF,ON,Closed
2631,70,4,OFF,OFF,ON,Closed
2632,69,4,ON,ON,OFF,Closed
2633,69,4,ON,ON,OFF,Closed
2634,69,5,ON,ON,OFF,Closed
2635,69,4,ON,ON,OFF,Closed
2636,69,5,ON,ON,OFF,Closed
2637,69,4,ON,ON,OFF,Closed
2638,69,5,ON,ON,OFF,Closed
2639,68,5,ON,ON,OFF,Closed
2640,67,6,ON,ON,OFF,Closed
2641,66,6,ON,ON,OFF,Closed
2642,65,5,ON,ON,OFF,Closed
2643,65,6,ON,ON,OFF,Closed
2644,64,7,ON,ON,OFF,Closed
2645,65,6,ON,ON,OFF,Closed
2646,65,6,ON,ON,OFF,Closed
2647,66,7,ON,ON,OFF,Closed
2648,67,6,ON,ON,OFF,Closed
2649,67,5,ON,ON,OFF,Closed
2650,67,4,ON,ON,OFF,Closed
2651,68,5,ON,ON,OFF,Closed
2652,67,4,ON,ON,OFF,Closed
2653,68,5,ON,ON,OFF,Closed
2654,69,4,ON,ON,OFF,Closed
2655,69,3,ON,ON,OFF,Closed
2656,68,3,ON,ON,OFF,Closed
2657,68,3,ON,ON,OFF,Closed
2658,68,4,ON,ON,OFF,Closed
2659,67,5,ON,ON,OFF,Closed
2660,66,4,ON,ON,OFF,Closed
2661,66,3,ON,ON,OFF,Closed
2662,66,2,ON,ON,OFF,Closed
2663,66,2,ON,ON,OFF,Closed
2664,65,2,ON,ON,OFF,Closed
2665,65,2,ON,ON,OFF,Closed
2666,65,3,ON,ON,OFF,Closed
2667,65,3,ON,ON,OFF,Closed
2668,64,4,ON,ON,OFF,Closed
2669,63,4,ON,ON,OFF,Closed
2670,64,3,ON,ON,OFF,Closed
2671,65,2,ON,ON,OFF,Closed
2672,65,3,ON,ON,OFF,Closed
2673,64,2,ON,ON,OFF,Closed
2674,63,3,ON,ON,OFF,Closed
2675,63,3,ON,ON,OFF,Closed
2676,63,3,ON,ON,OFF,Closed
2677,63,4,ON,ON,OFF,Closed
2678,63,3,ON,ON,OFF,Closed
2679,62,2,ON,ON,OFF,Closed
2680,62,3,ON,ON,OFF,Closed
2681,62,2,ON,ON,OFF,Closed
2682,62,2,ON,ON,OFF,Closed
2683,62,3,ON,ON,OFF,Closed
2684,61,2,ON,ON,OFF,Closed
2685,62,3,ON,ON,ON,Closed
2686,63,2,ON,ON,ON,Closed
2687,63,2,ON,ON,ON,Closed
2688,62,3,ON,ON,ON,Closed
2689,62,2,ON,ON,ON,Closed
2690,63,2,ON,ON,ON,Closed
2691,62,3,ON,ON,ON,Closed
2692,62,4,ON,ON,ON,Closed
2693,62,4,ON,ON,ON,Closed
2694,63,3,ON,ON,ON,Closed
2695,63,3,ON,ON,ON,Closed
2696,64,2,ON,ON,ON,Closed
2697,63,2,ON,ON,ON,Closed
2698,62,3,ON,ON,ON,Closed
2699,61,3,ON,ON,ON,Closed
2700,60,4,ON,ON,ON,Closed
2701,61,3,ON,ON,ON,Closed
2702,60,2,ON,ON,ON,Closed
2703,59,3,ON,ON,ON,Closed
2704,60,2,ON,ON,ON,Closed
2705,59,3,ON,ON,ON,Closed
2706,60,3,ON,ON,ON,Closed
2707,59,2,ON,ON,ON,Closed
2708,58,3,ON,ON,ON,Closed
2709,57,2,ON,ON,ON,Closed
2710,57,2,ON,ON,ON,Closed
2711,56,2,ON,ON,ON,Closed
2712,56,2,ON,ON,ON,Closed
2713,55,3,ON,ON,ON,Closed
2714,56,2,ON,ON,ON,Closed
2715,55,2,ON,ON,ON,Closed
2716,54,3,ON,ON,ON,Closed
2717,53,4,ON,ON,ON,Closed
2718,53,5,ON,ON,ON,Closed
2719,54,4,ON,ON,ON,Closed
2720,54,3,ON,ON,ON,Closed
2721,53,3,ON,ON,ON,Closed
2722,52,2,ON,ON,ON,Closed
2723,51,3,ON,ON,ON,Closed
2724,51,4,ON,ON,ON,Closed
2725,51,5,ON,ON,ON,Closed
2726,51,6,ON,ON,ON,Closed
2727,51,7,ON,ON,ON,Closed
2728,52,7,ON,ON,ON,Closed
2729,53,7,ON,ON,ON,Closed
2730,54,7,ON,ON,ON,Closed
2731,55,7,ON,ON,ON,Closed
2732,55,8,ON,ON,ON,Closed
2733,54,9,ON,ON,ON,Closed
2734,54,8,ON,ON,ON,Closed
2735,53,7,ON,ON,ON,Closed
2736,54,6,ON,ON,ON,Closed
2737,54,5,ON,ON,ON,Closed
2738,53,5,ON,ON,ON,Closed
2739,54,6,ON,ON,ON,Closed
2740,55,5,ON,ON,ON,Closed
2741,54,4,ON,ON,ON,Closed
2742,53,4,ON,ON,ON,Closed
2743,54,3,ON,ON,ON,Closed
2744,55,3,ON,ON,ON,Closed
2745,54,4,ON,ON,ON,Closed
2746,55,5,ON,ON,ON,Closed
2747,56,6,ON,ON,ON,Closed
2748,55,5,ON,ON,ON,Closed
2749,55,6,ON,ON,ON,Closed
2750,55,5,ON,ON,ON,Closed
2751,56,4,ON,ON,ON,Closed
2752,57,5,ON,ON,ON,Closed
2753,57,4,ON,ON,ON,Closed
2754,56,4,ON,ON,ON,Closed
2755,57,4,ON,ON,ON,Closed
2756,57,3,ON,ON,ON,Closed
2757,58,3,ON,ON,ON,Closed
2758,59,4,ON,ON,ON,Closed
2759,59,5,ON,ON,ON,Closed
2760,60,6,ON,ON,ON,Closed
2761,60,5,ON,ON,ON,Closed
2762,60,5,ON,ON,ON,Closed
2763,60,6,ON,ON,ON,Closed
2764,60,5,ON,ON,ON,Closed
2765,59,5,ON,ON,ON,Closed
2766,60,4,ON,ON,ON,Closed
2767,60,3,ON,ON,ON,Closed
2768,61,3,ON,ON,ON,Closed
2769,60,4,ON,ON,ON,Closed
2770,60,4,ON,ON,ON,Closed
2771,59,4,ON,ON,ON,Closed
2772,59,5,ON,ON,ON,Closed
2773,58,4,ON,ON,ON,Closed
2774,59,5,ON,ON,ON,Closed
2775,59,5,ON,ON,ON,Closed
2776,59,4,ON,ON,ON,Closed
2777,59,5,ON,ON,ON,Closed
2778,58,4,ON,ON,ON,Closed
2779,58,5,ON,ON,ON,Closed
2780,59,6,ON,ON,ON,Closed
2781,58,7,ON,ON,ON,Closed
2782,58,8,ON,ON,ON,Closed
2783,58,7,ON,ON,ON,Closed
2784,57,7,ON,ON,ON,Closed
2785,58,6,ON,ON,ON,Closed
2786,57,7,ON,ON,ON,Closed
2787,57,7,ON,ON,ON,Closed
2788,57,7,ON,ON,ON,Closed
2789,57,7,ON,ON,ON,Closed
2790,58,8,ON,ON,ON,Closed
2791,58,7,ON,ON,ON,Closed
2792,59,7,ON,ON,ON,Closed
2793,59,6,ON,ON,ON,Closed
2794,58,7,ON,ON,ON,Closed
2795,59,6,ON,ON,ON,Closed
2796,59,5,ON,ON,ON,Closed
2797,60,4,ON,ON,ON,Closed
2798,60,5,ON,ON,ON,Closed
2799,61,5,ON,ON,ON,Closed
2800,61,6,ON,ON,ON,Closed
2801,60,7,ON,ON,ON,Closed
2802,59,7,ON,ON,ON,Closed
2803,58,6,ON,ON,ON,Closed
2804,59,6,ON,ON,ON,Closed
2805,60,5,ON,ON,ON,Closed
2806,61,5,ON,ON,ON,Closed
2807,62,5,ON,ON,ON,Closed
2808,61,4,OFF,ON,OFF,Closed
2809,62,5,OFF,ON,OFF,Closed
2810,62,6,OFF,ON,OFF,Closed
2811,62,5,OFF,ON,OFF,Closed
2812,62,4,OFF,ON,OFF,Closed
2813,61,5,OFF,ON,OFF,Closed
2814,62,4,OFF,ON,OFF,Closed
2815,63,5,OFF,ON,OFF,Closed
2816,63,6,OFF,ON,OFF,Closed
2817,63,6,OFF,ON,OFF,Closed
2818,63,6,OFF,ON,OFF,Closed
2819,62,7,OFF,ON,OFF,Closed
2820,61,8,OFF,ON,OFF,Closed
2821,60,8,OFF,ON,OFF,Closed
2822,61,9,OFF,ON,OFF,Closed
2823,60,10,OFF,OFF,OFF,Closed
2824,60,10,OFF,OFF,OFF,Closed
2825,59,10,OFF,OFF,OFF,Closed
2826,60,8,OFF,OFF,OFF,Closed
2827,61,8,OFF,OFF,OFF,Closed
2828,60,9,OFF,OFF,OFF,Closed
2829,60,10,OFF,OFF,OFF,Closed
2830,60,8,OFF,OFF,OFF,Closed
2831,59,8,OFF,OFF,OFF,Closed
2832,59,8,OFF,OFF,OFF,Closed
2833,60,7,OFF,OFF,OFF,Closed
2834,61,7,OFF,OFF,OFF,Closed
2835,61,7,OFF,OFF,OFF,Closed
2836,60,7,OFF,OFF,OFF,Closed
2837,61,6,OFF,OFF,OFF,Closed
2838,60,6,ON,ON,ON,Closed
2839,61,6,ON,ON,ON,Closed
2840,60,5,ON,ON,ON,Closed
2841,61,5,ON,ON,ON,Closed
2842,62,6,ON,ON,ON,Closed
2843,62,7,ON,ON,ON,Closed
2844,61,6,ON,ON,ON,Closed
2845,62,5,ON,ON,ON,Closed
2846,61,4,ON,ON,ON,Closed
2847,62,5,ON,ON,ON,Closed
2848,63,4,ON,ON,ON,Closed
2849,64,3,ON,ON,ON,Closed
2850,63,2,OFF,ON,OFF,Closed
2851,63,2,OFF,ON,OFF,Closed
2852,62,3,OFF,ON,OFF,Closed
2853,63,3,OFF,ON,OFF,Closed
2854,62,4,OFF,ON,OFF,Closed
2855,61,5,OFF,ON,OFF,Closed
2856,62,6,OFF,ON,OFF,Closed
2857,62,6,OFF,ON,OFF,Closed
2858,63,6,OFF,ON,OFF,Closed
2859,63,6,OFF,ON,OFF,Closed
2860,63,6,OFF,ON,OFF,Closed
2861,64,5,OFF,ON,OFF,Closed
2862,64,4,OFF,ON,OFF,Closed
2863,64,3,OFF,ON,OFF,Closed
2864,63,2,OFF,ON,OFF,Closed
2865,63,2,OFF,ON,OFF,Closed
2866,63,3,OFF,ON,OFF,Closed
2867,64,3,OFF,ON,OFF,Closed
2868,63,2,OFF,ON,OFF,Closed
2869,63,3,OFF,ON,OFF,Closed
2870,63,4,OFF,ON,OFF,Closed
2871,62,5,OFF,ON,OFF,Closed
2872,63,5,OFF,ON,OFF,Closed
2873,64,4,OFF,ON,OFF,Closed
2874,64,5,OFF,ON,OFF,Closed
2875,64,6,OFF,ON,OFF,Closed
2876,63,6,OFF,ON,OFF,Closed
2877,62,7,OFF,ON,OFF,Closed
2878,62,8,OFF,ON,OFF,Closed
2879,61,9,OFF,ON,OFF,Closed
2880,60,8,OFF,OFF,OFF,Closed
2881,61,9,OFF,OFF,OFF,Closed
2882,61,8,OFF,OFF,OFF,Closed
2883,60,8,OFF,OFF,OFF,Closed
2884,60,7,OFF,OFF,OFF,Closed
2885,59,7,OFF,OFF,OFF,Closed
2886,60,8,OFF,OFF,OFF,Closed
2887,60,8,OFF,OFF,OFF,Closed
2888,60,8,OFF,OFF,OFF,Closed
2889,60,8,OFF,OFF,OFF,Closed
2890,61,9,OFF,OFF,OFF,Closed
2891,61,8,OFF,OFF,OFF,Closed
2892,62,9,OFF,OFF,OFF,Closed
2893,63,9,OFF,OFF,OFF,Closed
2894,62,8,OFF,OFF,OFF,Closed
2895,62,8,OFF,OFF,OFF,Closed
2896,62,9,OFF,OFF,OFF,Closed
2897,61,9,OFF,OFF,OFF,Closed
2898,60,8,OFF,OFF,OFF,Closed
2899,60,8,OFF,OFF,OFF,Closed
2900,59,9,OFF,OFF,OFF,Closed
2901,59,10,OFF,OFF,OFF,Closed
2902,59,9,OFF,OFF,OFF,Closed
2903,60,10,OFF,OFF,OFF,Closed
2904,61,10,OFF,OFF,OFF,Closed
2905,62,10,OFF,OFF,OFF,Closed
2906,61,9,OFF,OFF,OFF,Closed
2907,62,8,OFF,OFF,OFF,Closed
2908,63,9,OFF,OFF,OFF,Closed
2909,64,10,OFF,OFF,OFF,Closed
2910,63,10,OFF,OFF,OFF,Closed
2911,64,10,OFF,OFF,OFF,Closed
2912,65,10,OFF,OFF,OFF,Closed
2913,65,8,OFF,OFF,OFF,Closed
2914,64,8,OFF,OFF,OFF,Closed
2915,63,9,OFF,OFF,ON,Closed
2916,62,10,OFF,OFF,ON,Closed
2917,63,9,OFF,OFF,ON,Closed
2918,64,8,OFF,OFF,OFF,Closed
2919,65,9,ON,OFF,ON,Closed
2920,65,8,OFF,OFF,ON,Closed
2921,64,9,OFF,OFF,ON,Closed
2922,64,10,OFF,OFF,ON,Closed
2923,63,8,OFF,OFF,ON,Closed
2924,63,8,OFF,OFF,ON,Closed
2925,63,7,OFF,OFF,ON,Closed
2926,63,7,OFF,OFF,ON,Closed
2927,62,7,OFF,OFF,ON,Closed
2928,63,6,OFF,OFF,ON,Closed
2929,62,7,OFF,OFF,ON,Closed
2930,63,6,OFF,OFF,ON,Closed
2931,64,5,OFF,OFF,ON,Closed
2932,63,5,OFF,OFF,ON,Closed
2933,64,5,OFF,OFF,ON,Closed
2934,65,4,OFF,OFF,ON,Closed
2935,66,4,OFF,OFF,ON,Closed
2936,66,5,OFF,OFF,ON,Closed
2937,67,4,OFF,OFF,ON,Closed
2938,66,3,OFF,OFF,ON,Closed
2939,67,2,OFF,OFF,ON,Closed
2940,68,3,OFF,OFF,ON,Closed
2941,68,4,OFF,OFF,ON,Closed
2942,68,5,OFF,OFF,ON,Closed
2943,68,5,OFF,OFF,ON,Closed
2944,68,5,OFF,OFF,ON,Closed
2945,67,5,OFF,OFF,ON,Closed
2946,67,4,OFF,OFF,ON,Closed
2947,68,5,OFF,OFF,ON,Closed
2948,68,5,OFF,OFF,ON,Closed
2949,68,4,OFF,OFF,ON,Closed
2950,68,3,OFF,OFF,ON,Closed
2951,68,3,OFF,OFF,ON,Closed
2952,69,3,OFF,OFF,ON,Closed
2953,70,4,OFF,OFF,ON,Closed
2954,69,4,OFF,OFF,ON,Closed
2955,69,5,OFF,OFF,ON,Closed
2956,68,4,OFF,OFF,ON,Closed
2957,69,3,OFF,OFF,ON,Closed
2958,69,4,OFF,OFF,ON,Closed
2959,68,4,OFF,OFF,ON,Closed
2960,68,4,OFF,OFF,ON,Closed
2961,68,4,OFF,OFF,ON,Closed
2962,69,4,OFF,OFF,ON,Closed
2963,69,3,OFF,OFF,ON,Closed
2964,69,3,OFF,OFF,ON,Closed
2965,69,2,OFF,OFF,ON,Closed
2966,69,2,OFF,OFF,ON,Closed
2967,69,3,OFF,OFF,ON,Closed
2968,68,2,OFF,OFF,ON,Closed
2969,67,2,OFF,OFF,ON,Closed
2970,68,3,OFF,OFF,ON,Closed
2971,68,4,OFF,OFF,ON,Closed
2972,67,5,OFF,OFF,ON,Closed
2973,66,5,OFF,OFF,ON,Closed
2974,66,6,OFF,OFF,ON,Closed
2975,65,6,OFF,OFF,ON,Closed
2976,65,5,OFF,OFF,ON,Closed
2977,64,6,OFF,OFF,ON,Closed
2978,64,5,OFF,OFF,ON,Closed
2979,64,4,OFF,OFF,ON,Closed
2980,64,3,OFF,OFF,ON,Closed
2981,64,2,OFF,OFF,ON,Closed
2982,65,2,OFF,OFF,ON,Closed
2983,65,3,OFF,OFF,ON,Closed
2984,64,3,OFF,OFF,ON,Closed
2985,63,4,OFF,OFF,ON,Closed
2986,62,4,ON,ON,OFF,Closed
2987,62,3,ON,ON,OFF,Closed
2988,63,2,ON,ON,OFF,Closed
2989,62,3,ON,ON,OFF,Closed
2990,61,3,ON,ON,OFF,Closed
2991,60,2,ON,ON,OFF,Closed
2992,61,2,ON,ON,OFF,Closed
2993,60,2,ON,ON,OFF,Closed
2994,59,3,ON,ON,OFF,Closed
2995,58,2,OFF,ON,ON,Closed
2996,58,3,OFF,ON,ON,Closed
2997,59,3,OFF,ON,ON,Closed
2998,60,2,OFF,ON,ON,Closed
2999,61,2,OFF,ON,ON,Closed
3000,62,2,OFF,ON,ON,Closed
3001,61,3,OFF,ON,ON,Closed
3002,62,2,OFF,ON,ON,Closed
3003,61,2,OFF,ON,ON,Closed
3004,61,3,OFF,ON,ON,Closed
3005,60,2,OFF,ON,ON,Closed
3006,60,3,OFF,ON,ON,Closed
3007,59,2,OFF,ON,ON,Closed
3008,58,3,ON,ON,ON,Closed
3009,59,4,ON,ON,ON,Closed
3010,60,4,ON,ON,ON,Closed
3011,60,5,OFF,ON,ON,Closed
3012,61,4,OFF,ON,ON,Closed
3013,61,5,OFF,ON,ON,Closed
3014,62,4,OFF,ON,ON,Closed
3015,63,3,OFF,ON,ON,Closed
3016,64,2,OFF,ON,ON,Closed
3017,65,2,OFF,ON,ON,Closed
3018,65,2,OFF,ON,ON,Closed
3019,65,3,OFF,ON,ON,Closed
3020,66,3,OFF,ON,ON,Closed
3021,65,4,OFF,ON,ON,Closed
3022,66,5,OFF,ON,ON,Closed
3023,66,4,OFF,ON,ON,Closed
3024,67,5,OFF,ON,ON,Closed
3025,68,6,OFF,ON,ON,Closed
3026,67,5,OFF,ON,ON,Closed
3027,68,6,OFF,ON,ON,Closed
3028,69,7,OFF,ON,ON,Closed
3029,69,7,OFF,ON,ON,Closed
3030,68,8,OFF,ON,ON,Closed
3031,69,9,OFF,ON,ON,Closed
3032,69,8,OFF,OFF,ON,Closed
3033,68,9,OFF,OFF,ON,Closed
3034,69,8,OFF,OFF,ON,Closed
3035,69,9,OFF,OFF,ON,Closed
3036,70,10,OFF,OFF,ON,Closed
3037,71,9,OFF,OFF,ON,Closed
3038,71,8,OFF,OFF,ON,Closed
3039,71,7,OFF,OFF,ON,Closed
3040,70,7,OFF,OFF,ON,Closed
3041,71,6,OFF,OFF,ON,Closed
3042,70,5,OFF,OFF,ON,Closed
3043,71,6,OFF,OFF,ON,Closed
3044,70,5,OFF,OFF,ON,Closed
3045,71,4,OFF,OFF,ON,Closed
3046,71,4,OFF,OFF,ON,Closed
3047,72,5,OFF,OFF,ON,Closed
3048,73,5,OFF,OFF,ON,Closed
3049,72,5,OFF,OFF,ON,Closed
3050,73,4,OFF,OFF,ON,Closed
3051,74,5,OFF,OFF,ON,Closed
3052,74,5,OFF,OFF,ON,Closed
3053,75,4,OFF,OFF,ON,Closed
3054,76,4,OFF,OFF,ON,Closed
3055,75,5,OFF,OFF,ON,Closed
3056,74,4,OFF,OFF,ON,Closed
3057,73,3,OFF,OFF,ON,Closed
3058,73,3,OFF,OFF,ON,Closed
3059,74,4,OFF,OFF,ON,Closed
3060,74,3,OFF,OFF,ON,Closed
3061,75,4,OFF,OFF,ON,Closed
3062,76,5,OFF,OFF,ON,Closed
3063,76,6,OFF,OFF,ON,Closed
3064,76,6,OFF,OFF,ON,Closed
3065,76,6,OFF,OFF,ON,Closed
3066,75,6,OFF,OFF,ON,Closed
3067,74,6,OFF,OFF,ON,Closed
3068,74,7,OFF,OFF,ON,Closed
3069,74,7,OFF,OFF,ON,Closed
3070,74,8,OFF,OFF,ON,Closed
3071,75,8,OFF,OFF,ON,Closed
3072,74,8,OFF,OFF,ON,Closed
3073,75,8,OFF,OFF,ON,Closed
3074,74,8,OFF,OFF,ON,Closed
3075,75,9,OFF,OFF,ON,Closed
3076,75,8,OFF,OFF,ON,Closed
3077,74,7,OFF,OFF,ON,Closed
3078,74,8,OFF,OFF,ON,Closed
3079,73,7,OFF,OFF,ON,Closed
3080,72,7,OFF,OFF,ON,Closed
3081,73,8,OFF,OFF,ON,Closed
3082,74,8,OFF,OFF,ON,Closed
3083,73,7,OFF,OFF,ON,Closed
3084,72,8,OFF,OFF,ON,Closed
3085,72,8,OFF,OFF,ON,Closed
3086,72,8,OFF,OFF,ON,Closed
3087,72,8,OFF,OFF,ON,Closed
3088,72,8,OFF,OFF,ON,Closed
3089,73,8,OFF,OFF,ON,Closed
3090,72,9,OFF,OFF,ON,Closed
3091,72,10,OFF,OFF,ON,Closed
3092,71,9,OFF,OFF,ON,Closed
3093,72,8,OFF,OFF,ON,Closed
3094,72,9,OFF,OFF,ON,Closed
3095,73,8,OFF,OFF,ON,Closed
3096,72,7,OFF,OFF,ON,Closed
3097,73,7,OFF,OFF,ON,Closed
3098,72,8,OFF,OFF,ON,Closed
3099,73,7,OFF,OFF,ON,Closed
3100,74,7,OFF,OFF,ON,Closed
3101,74,7,OFF,OFF,ON,Closed
3102,73,7,OFF,OFF,ON,Closed
3103,73,7,OFF,OFF,ON,Closed
3104,72,7,OFF,OFF,ON,Closed
3105,72,7,OFF,OFF,ON,Closed
3106,71,7,OFF,OFF,ON,Closed
3107,70,8,OFF,OFF,ON,Closed
3108,69,9,OFF,OFF,ON,Closed
3109,70,8,OFF,OFF,ON,Closed
3110,69,8,OFF,OFF,ON,Closed
3111,69,7,OFF,OFF,ON,Closed
3112,70,8,OFF,OFF,ON,Closed
3113,70,7,OFF,OFF,ON,Closed
3114,70,7,OFF,OFF,ON,Closed
3115,71,6,OFF,OFF,ON,Closed
3116,72,6,OFF,OFF,ON,Closed
3117,73,7,OFF,OFF,ON,Closed
3118,74,7,OFF,OFF,ON,Closed
3119,75,8,OFF,OFF,ON,Closed
3120,74,7,OFF,OFF,ON,Closed
3121,75,7,OFF,OFF,ON,Closed
3122,74,6,OFF,OFF,ON,Closed
3123,73,5,OFF,OFF,ON,Closed
3124,72,4,OFF,OFF,ON,Closed
3125,72,5,OFF,OFF,ON,Closed
3126,72,5,OFF,OFF,ON,Closed
3127,73,6,OFF,OFF,ON,Closed
3128,73,5,OFF,OFF,ON,Closed
3129,72,4,OFF,OFF,ON,Closed
3130,71,5,OFF,OFF,ON,Closed
3131,72,6,OFF,OFF,ON,Closed
3132,72,5,OFF,OFF,ON,Closed
3133,72,6,OFF,OFF,ON,Closed
3134,73,5,OFF,OFF,ON,Closed
